epoch,train_loss,val_loss,val_iou_water,val_miou,val_f1,secs
1,0.83165,0.65327,0.56602,0.74883,0.72288,59.7
2,0.79634,0.67041,0.52979,0.72452,0.69263,35.7
3,0.76076,0.80113,0.25629,0.46018,0.40802,34.4
4,0.73445,0.71958,0.35088,0.57145,0.51948,41.2
5,0.68999,0.71138,0.36917,0.58816,0.53926,41.9
6,0.68294,0.9412,0.19104,0.34151,0.32079,35.7
7,0.69335,0.70923,0.54501,0.74294,0.70551,37.3
8,0.67088,0.93711,0.18782,0.33567,0.31624,35.3
9,0.6722,0.62038,0.58754,0.75955,0.74019,35.3
10,0.67231,0.56603,0.59487,0.76414,0.74598,35.9
11,0.64835,0.66554,0.60445,0.77499,0.75346,34.7
12,0.64826,0.55276,0.54811,0.7317,0.7081,36.2
13,0.64428,0.55353,0.59015,0.76073,0.74225,35.5
14,0.64947,0.53077,0.5958,0.76402,0.74671,36.2
15,0.62245,0.56091,0.57667,0.75119,0.7315,36.0
16,0.63357,0.52831,0.60897,0.77329,0.75697,35.3
17,0.62441,0.56954,0.6204,0.78231,0.76573,36.9
18,0.6015,0.52709,0.61185,0.77389,0.75919,36.1
19,0.61455,0.60342,0.62444,0.7855,0.76881,28.2
20,0.61858,0.52342,0.57531,0.7487,0.73041,29.8
21,0.60022,0.51982,0.57439,0.74786,0.72967,29.3
22,0.59795,0.54289,0.59463,0.76289,0.74579,31.2
23,0.59101,0.54216,0.54023,0.72432,0.7015,32.0
24,0.59059,0.52518,0.58547,0.75661,0.73854,29.0
25,0.57714,0.51343,0.61885,0.77865,0.76456,28.8
26,0.57986,0.52749,0.59329,0.76206,0.74474,28.3
27,0.58352,0.55904,0.61767,0.7802,0.76366,28.1
28,0.57935,0.51435,0.59454,0.7621,0.74572,27.3
29,0.57514,0.52512,0.59363,0.76184,0.745,27.6
30,0.57353,0.51717,0.60527,0.76977,0.75411,27.3
