epoch,train_loss,val_loss,val_iou_water,val_miou,val_f1,secs
1,4.64692,0.97301,0.40333,0.66496,0.57482,38.9
2,3.24116,0.61071,0.57953,0.75695,0.7338,34.3
3,2.36672,0.97838,0.14288,0.2449,0.25003,33.5
4,2.18179,0.68977,0.55072,0.74483,0.71028,33.2
5,1.90904,1.59567,0.35703,0.64066,0.52619,33.0
6,1.94236,0.65513,0.5156,0.7112,0.68039,34.2
7,1.89324,0.97,0.17817,0.31758,0.30246,33.4
8,1.74982,0.83496,0.54885,0.74463,0.70872,33.4
9,1.72825,1.03165,0.44994,0.69135,0.62064,33.1
10,1.70462,1.28661,0.41401,0.6721,0.58558,33.1
11,1.76306,1.51961,0.13813,0.18861,0.24273,32.9
12,1.67764,1.45244,0.14173,0.21083,0.24827,33.0
13,1.644,0.79673,0.26073,0.47171,0.41362,33.0
14,1.69682,0.76919,0.39854,0.64583,0.56994,33.1
15,1.538,0.61276,0.54578,0.73758,0.70616,33.9
16,1.58168,0.7413,0.60596,0.77425,0.75464,33.8
17,1.54225,0.7156,0.31471,0.53441,0.47876,33.6
18,1.5036,0.54452,0.51251,0.70476,0.67769,34.4
19,1.54048,0.6516,0.59105,0.76775,0.74297,33.3
20,1.48967,0.66246,0.3906,0.61181,0.56177,33.5
21,1.50755,0.6542,0.57015,0.75596,0.72623,33.3
22,1.45298,0.58603,0.62112,0.78235,0.76629,33.2
23,1.47069,0.57174,0.52151,0.71344,0.68551,33.0
24,1.43462,0.63295,0.61789,0.7821,0.76382,33.6
25,1.43506,0.5478,0.55059,0.73382,0.71017,35.6
26,1.40333,0.66581,0.61023,0.77873,0.75794,33.0
27,1.46117,0.55149,0.62138,0.78225,0.76649,33.1
28,1.43823,0.53854,0.6088,0.77394,0.75684,33.1
29,1.39157,0.54239,0.62657,0.78542,0.77042,33.0
30,1.38087,0.57471,0.61697,0.78081,0.76312,33.1
