epoch,train_loss,val_loss,val_iou_water,val_miou,val_f1,secs
1,4.52372,0.91351,0.428,0.67509,0.59944,43.3
2,3.08263,0.6583,0.56179,0.75161,0.71941,34.5
3,2.1921,0.63987,0.56175,0.75134,0.71939,34.7
4,1.9983,0.7717,0.47102,0.70216,0.6404,34.9
5,1.83587,0.76879,0.54827,0.74438,0.70823,34.6
6,1.77678,1.98566,0.12167,0.50653,0.21695,35.2
7,1.82618,0.71167,0.45531,0.66644,0.62573,34.0
8,1.65725,1.12763,0.48414,0.71031,0.65242,33.8
9,1.59793,0.6647,0.46716,0.68155,0.63683,36.8
10,1.56064,1.14302,0.46267,0.69888,0.63264,34.3
11,1.63006,0.58835,0.57822,0.75735,0.73275,34.3
12,1.53612,0.74718,0.31413,0.54293,0.47808,33.9
13,1.54032,0.8026,0.24488,0.44415,0.39342,34.3
14,1.54786,0.75947,0.35462,0.62234,0.52357,34.0
15,1.38194,0.58708,0.55721,0.74271,0.71565,36.1
16,1.43154,1.05209,0.4772,0.70607,0.64608,34.6
17,1.41907,0.71362,0.33991,0.56758,0.50736,34.5
18,1.38332,0.54517,0.59182,0.76304,0.74358,34.9
19,1.40198,0.61998,0.49808,0.70383,0.66495,33.3
20,1.36925,0.64681,0.41865,0.63732,0.59021,33.7
21,1.37162,0.61801,0.55715,0.74665,0.7156,35.1
22,1.32264,0.62552,0.61571,0.77995,0.76216,33.7
23,1.33526,0.55578,0.57687,0.75403,0.73167,33.9
24,1.29737,0.62105,0.61293,0.77828,0.76002,34.3
25,1.3136,0.5556,0.52915,0.71913,0.69208,34.2
26,1.27918,0.66386,0.6096,0.77816,0.75746,33.4
27,1.32185,0.55766,0.61055,0.77528,0.75819,33.3
28,1.28586,0.54963,0.58561,0.75929,0.73866,34.0
29,1.25106,0.56191,0.62064,0.78225,0.76592,33.3
30,1.25232,0.57417,0.60843,0.77488,0.75655,33.8
