epoch,train_loss,val_loss,val_iou_water,val_miou,val_f1,secs
1,0.75681,0.57329,0.70031,0.82541,0.82374,53.2
2,0.59141,0.7583,0.30557,0.51342,0.4681,33.3
3,0.54428,0.41889,0.70067,0.82663,0.82399,32.0
4,0.53767,0.40005,0.74535,0.8545,0.8541,37.4
5,0.55421,0.41143,0.67771,0.8122,0.8079,37.7
6,0.4891,0.38178,0.65874,0.79839,0.79427,29.3
7,0.50271,0.55935,0.71066,0.83626,0.83086,30.0
8,0.50744,0.43941,0.58748,0.75244,0.74014,33.0
9,0.54301,0.48236,0.46547,0.66274,0.63525,33.5
10,0.50745,0.37014,0.65887,0.79849,0.79436,31.0
11,0.52983,0.41592,0.76188,0.8645,0.86485,29.6
12,0.55283,0.37148,0.65297,0.79467,0.79005,30.2
13,0.4792,0.38169,0.64245,0.78797,0.78231,32.4
14,0.46932,0.36003,0.66872,0.80468,0.80147,39.3
15,0.44788,0.34042,0.76902,0.86694,0.86943,35.5
16,0.45612,0.35951,0.64495,0.78942,0.78415,31.1
17,0.4406,0.33792,0.8019,0.88668,0.89006,30.4
18,0.46259,0.3464,0.72661,0.84098,0.84166,37.8
19,0.43848,0.34668,0.6802,0.81181,0.80967,31.6
20,0.42314,0.34204,0.79692,0.88446,0.88698,30.5
21,0.41003,0.32719,0.7606,0.86174,0.86403,34.6
22,0.43101,0.34261,0.77891,0.87347,0.87572,31.8
23,0.41159,0.33155,0.82614,0.90125,0.90479,32.5
24,0.40337,0.32454,0.74665,0.85314,0.85495,32.4
25,0.40465,0.33291,0.7788,0.87278,0.87565,32.0
26,0.39626,0.31939,0.77926,0.873,0.87594,31.0
27,0.38621,0.31809,0.80803,0.89029,0.89382,30.0
28,0.38763,0.32093,0.81723,0.89578,0.89942,30.3
29,0.39668,0.31987,0.80974,0.89128,0.89487,31.6
30,0.38641,0.31738,0.7846,0.87614,0.8793,30.5
